"Name","Window","LearningRate","MaxDepth","MinChildWeight","Gamma","rmse_XGB","mae_XGB","Energy_Consumed"
"firm-sweep-167","3","1","1","2","0","6.553800547792757","5.065733198793474","0"
"rare-sweep-342","3","0.1","3","1","1","6.1820710227390725","4.566539363344254","1.2536258428907685e-8"
"olive-sweep-472","3","1","7","3","1","7.80096171234035","5.836760655556956","1.2888931622304277e-8"
"astral-sweep-102","3","0.1","3","1","0","6.261411717676084","4.594397498149257","1.2836712404578066e-8"
"smooth-sweep-42","3","0.01","5","1","0","41.31238150878024","40.57756289101877","1.94644574308869e-8"
"snowy-sweep-232","3","1","7","3","0","7.482787381771313","5.605103507749496","1.1633622584415408e-8"
"firm-sweep-172","3","1","1","3","0","6.46289805530226","4.942782257473853","1.2948318183639964e-8"
"valiant-sweep-367","3","0.1","5","2","1","6.398597344105714","4.705394468836631","1.61971726511941e-8"
"summer-sweep-312","3","0.01","7","3","1","41.29366833287845","40.55504750179168","1.7347019347400623e-8"
"atomic-sweep-457","3","1","5","4","1","7.844184967786273","5.5939710953251005","1.0004587772603676e-8"
"expert-sweep-122","3","0.1","5","1","0","7.163301491151951","5.192501760568926","1.672322172049058e-8"
"vibrant-sweep-62","3","0.01","7","1","0","41.31238150878024","40.57756289101877","8.586477644156632e-9"
"drawn-sweep-97","3","0.1","1","4","0","7.520617318159885","5.993719432215536","1.1459558525328048e-8"
"lunar-sweep-177","3","1","1","4","0","6.46289805530226","4.942782257473853","1.3456175673683093e-8"
"eager-sweep-87","3","0.1","1","2","0","7.520617318159885","5.993719432215536","1.5274444301919882e-8"
"peachy-sweep-247","3","0.01","1","2","1","41.94999860038731","40.990067148713145","1.6683539500819378e-8"
"wandering-sweep-357","3","0.1","3","4","1","5.97052439276789","4.350593956141318","1.7216983256200063e-8"
"fast-sweep-202","3","1","5","1","0","7.449845924307686","5.488920067768712","1.7040871384652844e-8"
"rosy-sweep-277","3","0.01","3","4","1","41.29366833287845","40.55504750179168","1.2906338028213012e-8"
"bumbling-sweep-82","3","0.1","1","1","0","7.520617318159885","5.993719432215536","1.0736680727000526e-8"
"good-sweep-442","3","1","5","1","1","7.950837066743876","5.605020162471647","1.4471890653769354e-8"
"peachy-sweep-117","3","0.1","3","4","0","5.97052439276789","4.350593956141318","1.1807847724235722e-8"
"frosty-sweep-52","3","0.01","5","3","0","41.31238150878024","40.57756289101877","1.5429717641129375e-8"
"astral-sweep-467","3","1","7","2","1","7.612880918182562","5.66013406568958","1.1300030279496949e-8"
"earnest-sweep-67","3","0.01","7","2","0","41.31238150878024","40.57756289101877","1.278142146816208e-8"
"azure-sweep-37","3","0.01","3","4","0","41.31238150878024","40.57756289101877","1.718217044438259e-8"
"splendid-sweep-132","3","0.1","5","3","0","5.9705156652992795","4.415491634048953","1.0810401975555176e-8"
"legendary-sweep-282","3","0.01","5","1","1","41.29366833287845","40.55504750179168","1.2949342089869889e-8"
"silvery-sweep-387","3","0.1","7","2","1","6.459047822115921","4.812484251551474","1.2508038504771928e-8"
"pious-sweep-157","3","0.1","7","4","0","6.005651470708519","4.398409177915513","1.7149405445024966e-8"
"colorful-sweep-147","3","0.1","7","2","0","6.677299617940643","4.757994267617502","1.3110095367968218e-8"
"floral-sweep-222","3","1","7","1","0","8.022539432400462","5.563994851979903","1.2437686823811117e-8"
"quiet-sweep-317","3","0.01","7","4","1","41.29366833287845","40.55504750179168","1.2421074543201233e-8"
"fallen-sweep-187","3","1","3","2","0","7.178024392544184","5.61329606736706","1.2879716466234945e-8"
"valiant-sweep-242","3","0.01","1","1","1","41.94999860038731","40.990067148713145","8.556784363488786e-9"
"eager-sweep-252","3","0.01","1","3","1","41.94999860038731","40.990067148713145","1.3564709734055214e-8"
"golden-sweep-152","3","0.1","7","3","0","6.230774712299737","4.582712210969001","1.6742765880937642e-8"
"wobbly-sweep-462","3","1","7","1","1","7.850463184080339","5.618437415141444","1.286845349770576e-8"
"fresh-sweep-7","3","0.01","1","2","0","41.94999860038731","40.990067148713145","1.2968796308238475e-8"
"silvery-sweep-2","3","0.01","1","1","0","41.94999860038731","40.990067148713145","2.219419143986872e-8"
"summer-sweep-127","3","0.1","5","2","0","6.277144091879539","4.632709298213834","1.2405505871760802e-8"
"pious-sweep-212","3","1","5","3","0","6.825362931285481","4.949665355460874","1.5406717041691484e-8"
"rosy-sweep-322","3","0.1","1","1","1","7.520617318159885","5.993719432215536","1.2956509433479372e-8"
"sweet-sweep-362","3","0.1","5","1","1","7.209809620519187","5.194375870833857","1.1414506651211316e-8"
"peachy-sweep-377","3","0.1","5","4","1","6.047891747082144","4.465219107941658","1.6692017209152254e-8"
"glad-sweep-197","3","1","3","4","0","7.151801994282906","5.354079000165386","8.562927800868338e-9"
"vocal-sweep-372","3","0.1","5","3","1","5.959840531937779","4.410881657754221","1.343646327237972e-8"
"northern-sweep-162","3","1","1","1","0","6.553800547792757","5.065733198793474","1.2779373655702231e-8"
"copper-sweep-112","3","0.1","3","3","0","6.198758859904254","4.517713214701991","1.2154790855447572e-8"
"expert-sweep-307","3","0.01","7","2","1","41.29366833287845","40.55504750179168","1.2733297875355574e-8"
"tough-sweep-192","3","1","3","3","0","7.855524755554955","5.729701442792338","1.3599522545872688e-8"
"azure-sweep-347","3","0.1","3","2","1","5.891567973444104","4.308753372093939","1.201282241595436e-8"
"gentle-sweep-27","3","0.01","3","2","0","41.31238150878024","40.57756289101877","1.28500231855671e-8"
"super-sweep-32","3","0.01","3","3","0","41.31238150878024","40.57756289101877","1.1006991971700902e-8"
"robust-sweep-257","3","0.01","1","4","1","41.94999860038731","40.990067148713145","1.9479816024335783e-8"
