"Name","Window","Factor","Threshold","Init","rmse_TEDA_pond","rmse_TEDA_stack","rmse_TEDA_major","mae_TEDA_pond","mae_TEDA_stack","mae_TEDA_major","Energy_Consumed"
"visionary-sweep-66","2","0.5","2.3","Yoshua","4.943929285150359","4.94392928515036","4.94392928515036","24.442436776567344","24.44243677656735","24.44243677656735","3.304759747708077e-8"
"grateful-sweep-101","2","0.75","1.5","He","3.3726686050101864","8.991682691383925","3.3770659756949617","11.374893519221356","80.85035762253328","11.404574604196563","3.4554787447531356e-8"
"driven-sweep-96","2","0.5","3","zero","5.449909177004888","5.449909177004889","5.449909177004889","29.701510037602095","29.7015100376021","29.7015100376021","2.6968554373828133e-8"
"celestial-sweep-111","2","0.75","2","He","3.384820300447984","6.542916172490974","3.369511350698125","11.45700846632478","42.80975204024394","11.353606742483503","3.2381034521399166e-8"
"golden-sweep-341","2","0.99","2.3","Xavier","3.858353393365799","3.8583533933658","3.8583533933658","14.886890908097378","14.88689090809738","14.88689090809738","2.5268981848335492e-8"
"ancient-sweep-61","2","0.5","2","Yoshua","4.944621794813899","4.753767364476566","5.013354846981535","24.449284693748623","22.598304155562477","25.133726821753253","3.0002500349281845e-8"
"misty-sweep-456","2","1","1.8","Yoshua","4.03651495367346","3.9572012176629663","4.097341112921976","16.293452971229453","15.659441477073267","16.788204195640695","4.4006465855975176e-8"
"misunderstood-sweep-136","2","0.75","2","Xavier","3.708337306154025","3.99987252357526","3.748032868086582","13.75176557621369","15.99898020485232","14.04775038025733","4.839883474624508e-8"
"northern-sweep-311","2","0.99","2","He","3.3363955316071285","6.3852930385684905","3.3971568322899075","11.131535143328014","40.77196718839123","11.540674543174","3.4841481191910546e-8"
"still-sweep-166","2","0.75","2.3","Yoshua","3.9443340900944666","3.944334090094467","3.944334090094467","15.557771414281342","15.557771414281346","15.557771414281346","2.9849938321022925e-8"
"fanciful-sweep-491","2","1","2.3","zero","5.013806125316869","5.013806125316869","5.013806125316869","25.138251862264948","25.138251862264948","25.138251862264948","3.821867539399035e-8"
"amber-sweep-41","2","0.5","2.3","Xavier","4.8552948131613345","4.8552948131613345","4.8552948131613345","23.573887722711355","23.57388772271136","23.57388772271136","3.8004327536150914e-8"
"good-sweep-271","2","0.98","3","Yoshua","4.053982706464396","4.053982706464396","4.053982706464396","16.43477578431239","16.43477578431239","16.43477578431239","3.5730231799486024e-8"
"devout-sweep-376","2","0.99","1.5","zero","5.27101759703256","13.22331720373802","5.013208867843321","27.783626508226902","174.85611787067387","25.132263152622915","4.869390857657487e-8"
"fast-sweep-291","2","0.98","2.3","zero","4.989922151001403","4.989922151001404","4.989922151001404","24.89932307305447","24.89932307305448","24.89932307305448","2.5895612461050004e-8"
"light-sweep-126","2","0.75","1.5","Xavier","3.706154462967112","4.622162216218934","3.745982326040833","13.735580903371044","21.36438355304192","14.032383587010292","3.85582608065407e-8"
"azure-sweep-261","2","0.98","2","Yoshua","4.01087356337787","3.939854401205652","4.059305530183645","16.08710674140349","15.522452702699548","16.47796138737952","3.3871841992170944e-8"
"sparkling-sweep-221","2","0.98","3","He","3.38188833389082","3.38188833389082","3.38188833389082","11.437168702906826","11.437168702906826","11.437168702906826","2.561915777897007e-8"
"golden-sweep-236","2","0.98","2","Xavier","3.784637111361109","4.0036211813565075","3.8508167753390503","14.323478064691756","16.028982563806476","14.828789837232645","2.989089457021995e-8"
"fiery-sweep-396","2","0.99","3","zero","5.002325025034973","5.002325025034972","5.002325025034972","25.02325565609114","25.023255656091138","25.023255656091138","3.3511147834512184e-8"
"proud-sweep-196","2","0.75","3","zero","4.793459100439414","4.7934591004394145","4.7934591004394145","22.977250147585433","22.97725014758544","22.97725014758544","3.0013763317811024e-8"
"happy-sweep-466","2","1","2.3","Yoshua","4.077754192752853","4.0777541927528524","4.0777541927528524","16.628079256513473","16.628079256513466","16.628079256513466","4.2533064791112145e-8"
"mild-sweep-361","2","0.99","2","Yoshua","4.0236396738346025","3.9516899745489336","4.0725925765653175","16.189676224855823","15.61585365495055","16.58601029469493","4.488395349502146e-8"
"lively-sweep-76","2","0.5","1.5","zero","5.488275278169811","12.84019586457522","5.5703097419088206","30.12116552896992","164.87062984065457","31.028350620804307","4.9852970428850723e-8"
"earnest-sweep-206","2","0.98","1.8","He","3.3721296986427745","8.84246714737224","3.3939755095238984","11.371258704468609","78.18922525235736","11.519069759248003","3.0031169723719764e-8"
"amber-sweep-31","2","0.5","1.8","Xavier","5.101256178022779","5.788016764367683","5.11679927422654","26.02281459381557","33.501138064601335","26.18163481272524","3.269127810906664e-8"
"electric-sweep-401","2","1","1.5","He","3.3560789018332176","8.841345687221786","3.4193880077165635","11.263265595330054","78.16939356095526","11.692214347315849","5.195709773134796e-8"
"glad-sweep-241","2","0.98","2.3","Xavier","3.846124215591993","3.846124215591993","3.846124215591993","14.79267148176312","14.792671481763122","14.792671481763122","3.387582209079988e-8"
"smart-sweep-176","2","0.75","1.5","zero","4.964020653520638","13.017403161648105","4.740894361105151","24.64150104857946","169.45278507288603","22.476079343158617","4.5376452391615705e-8"
